theme,indicator_code,indicator_label,respondent_type,value_pct,year_prev_pct,notes,change_pp
me_and_the_world,global_employer_confident_growth,Employers confident their business will grow next year,employer,95.0,,p.3 foreword: '95% of employers believe they will grow over the next year',
me_and_the_world,global_talent_optimism_growth,Talent confident their employer will grow next year,talent,51.0,,p.3 foreword: 'only 51% of talent share that optimism',
me_and_the_world,global_talent_second_job,Talent who have taken on (or are looking at) a second job,talent,40.0,22.0,"p.11: '40% of talent state they have taken on, or are looking at taking on, a second job. This is nearly twice as many as in 2024 (22%)'",18.0
me_and_the_world,global_talent_increased_hours,Talent who have increased or plan to increase working hours,talent,36.0,20.0,"p.11: '36% have increased or plan to increase their hours in their current job, up from 20% in 2024'",16.0
me_and_the_world,global_talent_worried_job_security,Talent worried about impact of economic uncertainty on job security,talent,46.0,,p.11: 'Close to half worry about the impact of economic uncertainty on their job security (46%)',
me_and_the_world,global_employer_invested_ai,Employers who have invested in AI in the last 12 months,employer,63.0,,p.5/12/14: 'nearly two-thirds of employers state that they have invested in AI in the last 12 months',
me_and_the_world,global_talent_ai_investment_increased,Talent who say their company's overall investment in AI has increased,talent,34.0,,p.5/14: '34% of talent say their company's overall investment in AI has increased',
me_and_the_world,global_talent_ai_improves_productivity,Talent who say AI makes them more productive at work,talent,62.0,,p.12/14: '62% — AI makes me more productive at work',
me_and_the_world,global_employer_ai_improves_productivity,Employers who say AI has increased workforce productivity in the last year,employer,54.0,,p.12/14: '54% of employers: AI has increased my workforce's productivity in the last year',
me_and_the_world,global_talent_confident_use_technology,Talent who feel confident they can use the latest technology,talent,69.0,,p.5/12: 'over two-thirds (69%) of talent feel confident they can use the latest technology',
me_and_the_world,global_talent_ai_benefits_company_more,Office workers who believe AI will benefit companies more than employees,talent,47.0,,p.5/13: 'Nearly half of the office workers surveyed (47%) believe AI will benefit companies more than employees',
me_and_the_world,global_talent_ai_no_impact,Talent who do not expect AI to affect their work at all,talent,21.0,,p.5/13: '1 in 5 talent (21%) do not expect AI to affect their work at all',
me_and_the_world,global_employer_ai_high_impact_tasks,Employers who expect AI to have a high to very high impact on work tasks,employer,58.0,,p.13: '58% of employers expect AI to have a high to very high impact on tasks',
me_and_the_world,global_talent_ai_high_impact_tasks,Talent who expect AI to have a high to very high impact on work tasks,talent,52.0,,p.13: '52% of workers [expect high to very high impact]',
me_and_the_world,global_talent_concerned_job_disappear,Talent concerned their job will disappear in the next five years,talent,34.0,,p.13: 'A third of all talent in the study (34%) are concerned that their jobs will disappear in the next five years',
me_and_the_world,global_talent_want_more_ai_development,Talent who want more investment in AI skills development from employer,talent,65.0,,p.12/14: 'two-thirds of talent wanting to see more investment in AI skills development from their employers (65%)',
me_and_the_world,global_employer_hire_fewer_graduates_ai,Employers planning to hire fewer graduates this year because of AI,employer,38.0,,p.14: '38% employers: I am planning to hire fewer graduates this year compared to last year because of AI',
